站点ID,记录中出现过的站名,bus_stops站名
BV10020876,神岗村 / 神岗村站,神岗村
BV10945004,神岗墟 / 神岗墟站,神岗墟
BV10388697,大塘边站 / 大塘边,大塘边
BV10945000,白田岗 / 白田岗站,白田岗
BV11371484,三眼桥站 / 三眼桥,三眼桥站
BV11175927,紫金城 / 紫金城站,紫金城
BV09304708,太平村 / 太平村站,太平村
BV11689456,蛇龙北 / 蛇龙北站,蛇龙北
BV10252230,江夏村 / 江夏村站,江夏村
BV09000902,江河路 / 江河路站,江河路
BV11689458,大转弯 / 大转弯站,大转弯
BV11688704,北村闸 / 北村闸站,北村闸
BV11408222,乐安街 / 乐安街站,乐安街
BV11688780,金名都 / 金名都站,金名都站
BV11371472,玫瑰园 / 玫瑰园站,玫瑰园
BV10251759,鄱阳路 / 鄱阳路站,鄱阳路
BV09032518,群贤路站 / 群贤路,群贤路
BV11171491,板桥西站 / 板桥西,板桥西
BV11171484,梅山村站 / 梅山村,梅山村
BV11130508,坑头村站 / 坑头村,坑头村站
BV11688148,江南村 / 江南村站,江南村
BV10803819,冯安围站 / 冯安围,冯安围站
BV09371836,庆盛村 / 庆盛村站,庆盛村站
BV10016800,龙穴岛站 / 龙穴岛,龙穴岛站
BV10016788,界河桥站 / 界河桥,界河桥站
BV10017243,十三涌 / 十三涌站,十三涌
BV09244439,同兴村站 / 同兴村,同兴村
BV10015934,年丰村站 / 年丰村,年丰村站
BV09296468,九涌桥站 / 九涌桥,九涌桥站
BV09240062,九涌半站 / 九涌半,九涌半站
BV10023185,东深桥站 / 东深桥,东深桥站
BV09397453,环宇城站 / 环宇城,环宇城
BV10015907,安顺村站 / 安顺村,安顺村站
BV10019803,大稳村站 / 大稳村,大稳村站
BV10023182,天益桥站 / 天益桥,天益桥站
BV10018467,简太路站 / 简太路,简太路站
BV10014913,大同村站 / 大同村,大同村站
BV11602676,灵山岛站 / 灵山岛,灵山岛站
BV10020149,牛角村 / 牛角村站,牛角村站
BV10020151,万安村 / 万安村站,万安村站
BV10014973,沙湾涌 / 沙湾涌站,沙湾涌站
BV10014977,飞鹰厂站 / 飞鹰厂,飞鹰厂
BV09302153,岭东村站 / 岭东村,岭东村站
BV10018334,南村尾站 / 南村尾,南村尾
BV09323890,石牌村站 / 石牌村,石牌村
BV09186857,三姓路 / 三姓路站,三姓路
BV10015941,民立村站 / 民立村,民立村
BV10015939,民兴村站 / 民兴村,民兴村站
BV10015938,保丰围站 / 保丰围,保丰围站
BV09252315,民建村站 / 民建村,民建村站
BV10014912,草河村站 / 草河村,草河村站
BV10014950,德信路站 / 德信路,德信路
BV11406671,公路局 / 公路局站,公路局
BV10617413,电力局 / 电力局站,电力局
BV11631835,山田村 / 山田村站,山田村
BV09278258,图书馆站 / 图书馆,图书馆站
BV11441816,深涌村站 / 深涌村,深涌村
BV09192238,何仙姑站 / 何仙姑,何仙姑站
BV10856384,塔岗村 / 塔岗村站,塔岗村
BV11692686,翟洞村 / 翟洞村站,翟洞村站
BV09348753,沙头村站 / 沙头村,沙头村
BV11447599,初溪村 / 初溪村站,初溪村站
BV10263706,蕉利北站 / 蕉利北,蕉利北站
BV10263906,蕉利南站 / 蕉利南,蕉利南站
BV09374429,荔湾路站 / 荔湾路,荔湾路
BV09404943,红珠路站 / 红珠路,红珠路
BV09002116,三华村站 / 三华村,三华村
BV11688699,宏威路 / 宏威路站,宏威路
BV09269179,麻三村 / 麻三村站,麻三村站
BV09005953,草场村站 / 草场村,草场村
BV11632874,蟹坑村 / 蟹坑村站,蟹坑村站
BV09245149,中医院 / 中医院站,中医院
BV09005809,雅荷居 / 雅荷居站,雅荷居站
BV09005810,华侨城 / 华侨城站,华侨城
BV11131894,西丽路 / 西丽路站,西丽路
BV09344241,南浦村 / 南浦村站,南浦村
BV09316436,工业路 / 工业路站,工业路
BV10020162,朗陶居 / 朗陶居站,朗陶居
BV09305164,江鸥村站 / 江鸥村,江鸥村
BV09357587,北环路站 / 北环路,北环路
BV10676452,新广场 / 新广场站,新广场
BV11131948,甘棠村站 / 甘棠村,甘棠村
BV11688140,乐同村 / 乐同村站,乐同村
BV11435997,颐养院 / 颐养院站,颐养院站
BV09271071,将军潭 / 将军潭站,将军潭
BV09386974,轮胎厂 / 轮胎厂站,轮胎厂
BV09176953,塱头村 / 塱头村站,塱头村
BV11412277,中洞村 / 中洞村站,中洞村
BV11412280,蓝田村 / 蓝田村站,蓝田村
BV11466783,劳教所 / 劳教所站,劳教所
BV10847076,水口村 / 水口村站,水口村
BV09410387,水务局 / 水务局站,水务局
BV09407005,毕村西 / 毕村西站,毕村西站
BV09313069,万信达 / 万信达站,万信达
BV09313065,南昌里 / 南昌里站,南昌里
BV09313064,华严寺站 / 华严寺,华严寺
BV11689392,振兴村 / 振兴村站,振兴村
BV11688081,三东村站 / 三东村,三东村
BV11411805,摩天轮 / 摩天轮站,摩天轮站
BV09414032,故乡里站 / 故乡里,故乡里
BV11406986,新桥头 / 新桥头站,新桥头
BV11689387,御华园站 / 御华园,御华园
BV09303743,新庄村站 / 新庄村,新庄村
BV11346059,瑞边村站 / 瑞边村,瑞边村
BV11690355,石岗村站 / 石岗村,石岗村站
BV11317179,西头村站 / 西头村,西头村
BV11497174,水口营站 / 水口营,水口营
BV11497170,吉星村站 / 吉星村,吉星村
BV11562315,棠溪 / 棠溪站1,棠溪站1
BV09177350,西塱2 / 西塱1,西塱2
BV11559829,坪地2 / 坪地1,坪地1
BV11489895,坪地1 / 坪地2,坪地2
BV09041862,西塱站2 / 西塱,西塱站2
BV09226129,小北 / 小北1,小北1
BV09179585,堑口 / 堑口2,堑口2
BV09242190,沙园 / 沙园站,沙园
BV10800468,广船 / 广船站,广船站
BV09002998,东塱 / 东塱站,东塱站
BV10014360,上涌 / 上涌站,上涌
BV09003001,桥中 / 桥中站,桥中
BV09226064,小坪1 / 小坪,小坪1
BV11688360,马务 / 马务站,马务
BV09209226,同和2 / 同和,同和2
BV11688423,榕溪 / 榕溪站,榕溪
BV11688516,东堤 / 东堤站,东堤
BV11688501,长堤 / 长堤站,长堤
BV10015051,上漖站 / 上漖,上漖
BV10013679,珠影 / 珠影站,珠影
BV11688412,黑山 / 黑山站,黑山
BV09000553,横滘 / 横滘站,横滘
BV09321905,天河 / 天河2,天河2
BV09323877,冼村 / 冼村2,冼村2
BV11688338,赤岗 / 赤岗站,赤岗
BV11687958,鹭江 / 鹭江站,鹭江
BV09263630,沙河2 / 沙河,沙河2
BV09246642,瑶台 / 瑶台1,瑶台1
BV10713660,沙涌站 / 沙涌,沙涌
BV09001423,棠溪站 / 棠溪,棠溪
BV09226099,马务 / 马务2,马务2
BV09377937,克山1 / 克山,克山1
BV09226113,瑶台2 / 瑶台,瑶台2
BV11687842,槎头 / 槎头站,槎头
BV11688783,沥滘 / 沥滘站,沥滘
BV10681379,石溪 / 石溪站,石溪站
BV09316713,南村1 / 南村,南村1
BV11688439,芳村 / 芳村站,芳村
BV11687930,敦和 / 敦和站,敦和
BV09243512,财厅 / 财厅站,财厅
BV09010643,克山2 / 克山,克山2
BV10703593,松北 / 松北站,松北
BV09200026,槎头 / 槎头1,槎头1
BV11688572,西坑 / 西坑站,西坑站
BV09177348,芳村1 / 芳村,芳村1
BV11688506,花地 / 花地站,花地
BV11687869,山村 / 山村站,山村站
BV11591011,祥凤站 / 祥凤,祥凤站
BV11687928,塘头站 / 塘头,塘头
BV11687851,南岗站 / 南岗,南岗
BV10714250,沙村 / 沙村站,沙村站
BV11688548,东圃 / 东圃站,东圃
BV09226062,平沙1 / 平沙,平沙1
BV11483612,大塱 / 大塱站,大塱
BV11688462,夏茅 / 夏茅站,夏茅
BV09001451,鹤南 / 鹤南站,鹤南
BV09347832,纸厂 / 纸厂站,纸厂
BV09203867,石溪1 / 石溪,石溪1
BV11088402,广外 / 广外站,广外
BV11688440,琶洲 / 琶洲站,琶洲
BV11688391,广医 / 广医站,广医
BV10014068,西苑 / 西苑站,西苑
BV11102072,克山 / 克山站,克山
BV09307684,横滘1 / 横滘,横滘1
BV11086798,冼村 / 冼村站,冼村
BV11688380,望岗 / 望岗站,望岗站
BV11687843,黄边 / 黄边站,黄边
BV09364516,流花 / 流花站,流花站
BV11689633,小洲 / 小洲站,小洲
BV10018239,土华 / 土华站,土华
BV11687970,庆丰 / 庆丰站,庆丰
BV09375063,沙河 / 沙河站,沙河
BV11688784,谢村站 / 谢村,谢村
BV11687884,猛涌站 / 猛涌,猛涌
BV09000383,礼村站 / 礼村,礼村
BV10019877,大石站 / 大石,大石
BV10016700,钟村 / 钟村站,钟村
BV09294082,五坊站 / 五坊,五坊站
BV10017992,东沙 / 东沙站,东沙站
BV11691182,火村 / 火村站,火村
BV11573871,长安 / 长安站,长安
BV09169832,上堂1 / 上堂,上堂1
BV11690376,姬堂站 / 姬堂,姬堂站
BV11690379,上堂站 / 上堂,上堂
BV11379929,贤江站 / 贤江,贤江
BV09241911,萝岗站 / 萝岗,萝岗
BV11379591,岭头站 / 岭头,岭头站
BV09006665,屋角站 / 屋角,屋角站
BV10016015,华工站 / 华工,华工
BV09351784,荷村 / 荷村站,荷村
BV11573881,朱屋站 / 朱屋,朱屋
BV11383669,坳岗站 / 坳岗,坳岗
BV09246211,莲溪 / 莲溪站,莲溪
BV11597696,中大 / 中大站,中大
BV09237475,水西站 / 水西,水西站
BV11687921,夏园站 / 夏园,夏园
BV11163379,桥中 / 桥中1,桥中1
BV11688428,小坪 / 小坪站,小坪
BV11691998,沙凤 / 沙凤站,沙凤
BV10974372,红山站 / 红山,红山
BV11545639,东基 / 东基站,东基站
BV11687844,西塱 / 西塱站,西塱站
BV09288121,夏港 / 夏港站,夏港
BV09000493,神山 / 神山站,神山
BV11484168,石龙 / 石龙站,石龙
BV11484181,茅山 / 茅山站,茅山
BV09242094,江高站 / 江高,江高站
BV11345917,泉溪站 / 泉溪,泉溪站
BV11345919,塘贝站 / 塘贝,塘贝站
BV11345921,水沥 / 水沥站,水沥站
BV11690765,新科站 / 新科,新科站
BV09001432,桃源站 / 桃源,桃源站
BV10018676,鹤亭 / 鹤亭站,鹤亭
BV11688527,北村 / 北村站,北村
BV11690754,长红 / 长红站,长红
BV11222413,星荟站 / 星荟,星荟站
BV11688453,平沙 / 平沙站,平沙
BV09245330,郭塘站 / 郭塘,郭塘站
BV09000490,石马 / 石马站,石马站
BV11688071,唐阁 / 唐阁站,唐阁
BV10017093,桥东 / 桥东站,桥东
BV11329585,员村 / 员村站,员村
BV11689187,苗圃 / 苗圃站,苗圃
BV11689186,岑村 / 岑村站,岑村
BV11388326,湴湖 / 湴湖站,湴湖
BV11388333,新和 / 新和站,新和
BV10636433,张边站 / 张边,张边站
BV11690546,邓岗站 / 邓岗,邓岗站
BV10573526,新村站 / 新村,新村站
BV11165782,毕村站 / 毕村,毕村站
BV11690802,广塘站 / 广塘,广塘
BV11690800,广岭 / 广岭站,广岭
BV11690255,龙口站 / 龙口,龙口
BV09000893,小布站 / 小布,小布
BV10015691,南门站 / 南门,南门站
BV11691185,坪山 / 坪山站,坪山站
BV11466868,杨屋 / 杨屋站,杨屋
BV11168429,海布 / 海布站,海布
BV11168438,合成 / 合成站,合成站
BV11628197,太和 / 太和站,太和
BV09272796,桔洞站 / 桔洞,桔洞
CL100017,西坑 / 西坑①,西坑①
BV11400773,胡屋站 / 胡屋,胡屋站
BV11400775,均田站 / 均田,均田站
BV11694282,岗顶 / 岗顶站,岗顶
BV11694281,上社 / 上社站,上社
BV11694280,棠东 / 棠东站,棠东
BV11692816,黄村 / 黄村站,黄村
BV09388858,夏园站 / 夏园,夏园
BV09031070,东沙 / 东沙站,东沙
BV10018723,北星站 / 北星,北星站
BV11480861,毛埔站 / 毛埔,毛埔
BV11480860,黄场站 / 黄场,黄场
BV10616510,民乐 / 民乐站,民乐
BV11168222,车头站 / 车头,车头站
BV11487751,玲洲站 / 玲洲,玲洲
BV11482394,陈庄 / 陈庄站,陈庄
BV09388708,岭南 / 岭南站,岭南
BV11688697,西约 / 西约站,西约
BV11688703,夏东 / 夏东站,夏东
BV10254418,蓬涌站 / 蓬涌,蓬涌站
BV09061722,小布站 / 小布,小布
BV11689451,泗沥 / 泗沥站,泗沥
BV10252559,平安站 / 平安,平安
BV10252561,横江 / 横江站,横江
BV09205392,松岗站 / 松岗,松岗
BV10789111,显纲站 / 显纲,显纲
BV11689077,沙涌 / 沙涌站,沙涌
BV11688698,湖洲 / 湖洲站,湖洲
BV09006200,北村 / 北村站,北村
BV11379005,中村 / 中村站,中村站
BV11371474,联安 / 联安站,联安
BV11688732,乐城 / 乐城站,乐城
BV11688781,洲村 / 洲村站,洲村站
BV11688779,丰岗站 / 丰岗,丰岗
BV10252241,颜峰 / 颜峰站,颜峰站
BV09237239,小布 / 小布站,小布站
BV11371462,新社 / 新社站,新社
BV11371478,日田 / 日田站,日田
BV09205390,南约 / 南约站,南约站
BV09398775,南村 / 南村站,南村站
BV10015001,三涌站 / 三涌,三涌站
BV10017245,十涌 / 十涌站,十涌
BV10019807,墩涌站 / 墩涌,墩涌站
BV10018333,上村站 / 上村,上村
BV10014947,蚬涌站 / 蚬涌,蚬涌
BV09316438,塘涌站 / 塘涌,塘涌
BV09221952,林场 / 林场站,林场
BV10975804,马山站 / 马山,马山
BV09367689,山村 / 山村站,山村
BV11689337,东盛站 / 东盛,东盛站
BV09205393,平北站 / 平北,平北站
BV09308646,奕西 / 奕西站,奕西
BV11459794,陈涌 / 陈涌站,陈涌
BV11345913,布心 / 布心站,布心
BV09206742,剑岭 / 剑岭站,剑岭站
BV11375043,赤坭 / 赤坭站,赤坭
BV11346385,塘口站 / 塘口,塘口站
BV10023804,花城站 / 花城,花城
BV11382881,两龙站 / 两龙,两龙
BV09313068,长岗 / 长岗站,长岗
BV09377933,旗岭站 / 旗岭,旗岭
BV11375045,国泰站 / 国泰,国泰站
BV11407232,缠岗站 / 缠岗,缠岗站
BV11317188,连珠 / 连珠站,连珠站
BV10019267,田心站 / 田心,田心
BV11317178,石坑站 / 石坑,石坑
BV11497172,港头站 / 港头,港头
